銘柄	業種	評価	公開価格	ロックアップ	日付	始値	高値	安値	終値	前日比	前日比％	出来高	
エルテス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> Webｻｲﾄ関連ｼｽﾃﾑ	A	1790	90日	2016-12-05	7270	7360	6800	6920	+20.0	+0.29%	477600	
エルテス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> Webｻｲﾄ関連ｼｽﾃﾑ	A	1790	90日	2016-12-06	6960	7920	6950	7920	+1,000.0	+14.45%	836700	
													
セグエグループ	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ﾈｯﾄｲﾝﾌﾗ構築	A	1700	1.5倍									
													
イノベーション	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	2770	180日									
													
エイトレッド	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> ﾊﾟｯｹｰｼﾞｿﾌﾄ> ﾊﾟｯｹｰｼﾞｿﾌﾄ(その他)	A	1800	1.5倍									
													
ティビィシィ・スキャット	（情報通信）	A	1400	180日									
